nombre,razon_social,cuit,telefono,email
MATAFUEGOS EZEIZA,MANUEL ELISA CLAUDIA,-,-,-
MECAFER,MECAFER S.R.L.,-,-,-
MECANSUR,METALURGICA MECANSUR  S R L,-,-,-
MERCEDES BENZ,ARMANDO J RIOS S.A.C.I.F.,-,-,-
MERCOSIL,DIMAS MICELI,-,-,-
METALCONF,METALCONF COMERCIAL S.A.,-,-,-
METALURGICA GABRIELLI ,METALURGICA GABBRIELLI S.A.,-,-,-
METALURGICA PEÑALVA HNOS.  S.A.,METALURGICA PEÑALVA HNOS.  S.A.,-,-,-
MICRO,AUTOMACION MICROMECANICA S.A.I.C.,-,-,-
MOCONA,GRUPO MOCONA SRL,-,-,-
MORAN IVANA LORENA,MORAN IVANA LORENA,-,-,-
MORON GOMA,MORON GOMA S.A.,-,-,-
NEPOTE,NEPOTE RAUL OMAR,-,-,-
NEW GAS,NEW GAS S.A.,-,-,-
OESTE GASES,MOROZIUK RUBEN G. Y STAMPONE EDUARDO J. S.H.,-,-,-
ONISZCZUK ALBERTO,ONISZCZUK ALBERTO,-,-,-
OPORTO PABLO ALFREDO,OPORTO PABLO ALFREDO,-,-,-
ORGANIZACION SD ,ORGANIZACION SD S.R.L.,-,-,-
PAPELERA JUAN XXII,SAPIA ARIEL AUGUSTO,-,-,-
PATRACAS,PATRACAS S.A.,-,-,-
PENTRON,PENTRON S.A.,-,-,-
PETROPOLIS,GIARDINA ADRIAN FABIO,-,-,-
PIERRINOX,PIERRINOX SRL,-,-,-
PIJUAN,PIJUAN MARCELO HECTOR,-,-,-
PINTURERIA SERRENTINO,PINTURERIA SERRENTINO S.R.L.,-,-,-
PISOMETAL,PISOMETAL S.A.,-,-,-
PLASMA CONTROL,ARILLO LORENZO JUAN MANUEL,-,-,-
PREGOM,PRE GOM DE HECTOR J BURKARDT E HIJOS,-,-,-
PROVEEDURIA HIDRAULICA,ABAL GABRIEL ANDRES,-,-,-
PROVIN,PAZ LUCAS SEBASTIAN,-,-,-
Q10 QUIMICA,ALFREDO JAVIER ALVAREZ,-,-,-
QUIMWEY,QUIMWEY LABORATORIO INDUSTRIAL S.A.,-,-,-
RAPP CLAUDIO FABIAN,RAPP CLAUDIO FABIAN,-,-,-
REPICKY,REPICKY S.A.,-,-,-
REPUESTOS LLAVALLOL,PELLEGRINI DIEGO OMAR,-,-,-
REPUESTOS SANKAR,REPUESTOS SANKAR DE RUIZ HECTOR RAUL ,-,-,-
REVICAR ,REVICAR S.A.,-,-,-
RIVADAVIA REPUESTOS,RIVADAVIA REPUESTOS S.A.,-,-,-
RIZZOTTO,RIZZOTTO Y PIERAGOSTINI S.R.L.,-,-,-
ROBERTO JOSE HELOU,ROBERTO JOSE HELOU,-,-,-
ROSSI,ROSSI RODAMIENTOS S.R.L.,-,-,-
RUBINETTI,DENDA LEONARDO DANILO Y CACACE CARLOS HUGO S.H.,-,-,-
RUIZ DIAZ RAUL MARTIN,RUIZ DIAZ  REPARACIONES,-,-,-
REPUESTOS VELEZ SARSFIELD ,REPUESTOS VELEZ SARSFIELD S.R.L.,-,-,-
SANCHEZ HORACIO HECTOR,SANCHEZ HORACIO HECTOR,-,-,-
SANITARIOS ADRIANA,MABEL ADRIANA BAUTIAN,-,-,-
SANITARIOS VIAMONTE ,RIVERA ROBERTO,-,-,-
SANITARIOS VIAMONTE ,SANITARIOS VIAMONTE S.A.,-,-,-
SARABIA MARIO FABIAN,SARABIA MARIO FABIAN,-,-,-
SCANIA,BAISUR MOTO S.A.,-,-,-
SELLADORES Y PEGAMENTOS SAN JOSE,SELLADORES Y PEGAMENTOS SAN JOSE S.R.L.,-,-,-
SIRIO MATAFUEGOS,RODRIGUEZ ROQUE NICOLAS,-,-,-
SISTEMA INTEGRAL DEL AUTOMOVIL,SISTEMA INTEGRAL DEL AUTOMOVIL S.A.,-,-,-
SOCAM COOPERATIVA DE TRABAJO LIMITADA,COOPERATIVA SCOAM COOPERATIVA DE TRABAJO LIMITADA,-,-,-
SOLBEMT,SOLBEMT SRL,-,-,-
SP ACCESORIOS,ARIOTTI SANTORO JUAN PABLO,-,-,-
STOCCO,STOCCO HERMANOS S.A.,-,-,-
STORANI,PENTRON S.A.,-,-,-
TANGLER,TANGLER GROUP S.R.L.,-,-,-
TANGOMA,TANGOMA S.R.L.,-,-,-
TECNOPEG,BAHIA NELIDA CRISTINA Y GOMEZ BAHIA GABRIELA FERNANDA S.H.,-,-,-
TER,TER APLICACIONES ESPECIALES S.R.L.,-,-,-
TIENDA DE CARDAN,TIENDA DE CARDAN S.A.,-,-,-
TODO UNION,MARCHESANO ALEJANDRA GABRIELA,-,-,-
TOFEMA,TOFEMA S.A.,-,-,-
TORMECAN,TORMECAN S.A.,-,-,-
TRANSMISIONES GALICIA,TRANSMISIONES GALICIA,-,-,-
TRV,TRV ECOLOGICO S.R.L.,-,-,-
TRV,TRAVERSO CLAUDIO DANIEL,-,-,-
TRYTECH,TRYTECH S.R.L.,-,-,-
TUTHILL,REP TEC SUDAMERICANA S.R.L.,-,-,-
UDOR,UDOR ARGENTINA S.A.,-,-,-
ULTRACOLOR,ULTRACOLOR S.A.,-,-,-
VACIO PONT,VACIO PONT S.R.L.,-,-,-
VAL ARG,VAL ARG S.R.L.,-,-,-
VALVULAS ESTEBAN,ABELARDO ESTEBAN,-,-,-
VENETO,TECVENETO CHECK S.R.L.,-,-,-
VICALI,VICALI S.R.L.,-,-,-
VTM,V.T.M. TRANSMISIONES S.A.,-,-,-
WACKER,AYIMIC S.R.L.,-,-,-
WACKER ,WACKER HERRAMIENTAS S.R.L.,-,-,-
WURTH,WURTH ARGENTINA S.A.,-,-,-
YACCUZZI,PROTEC TURBO S.A.,-,-,-
ZALOZE,ACCESORIOS ZALOZE S.R.L.,-,-,-
2MT,2MT,-,-,-
ACCEPLASTIC,ACCEPLASTIC,-,-,-
ACERO LOMAS,ACERO LOMAS,-,-,-
ACO FLEX,ACO FLEX,-,-,-
ACOPLADOS PETINARI,ACOPLADOS PETINARI,-,-,-
ACOPLES SANCHEZ,ACOPLES SANCHEZ,-,-,-
ACRILICOS ARTE,ACRILICOS ARTE,-,-,-
ACSA,ACSA,-,-,-
ADORNO GUILLERMO JAVIER,ADORNO GUILLERMO JAVIER,-,-,-
AGUA PARICE,AGUA PARICE,-,-,-
AGUAYO,AGUAYO,-,-,-
